Name,Source,Description,Gem
Enchantment Summon Skeletons Damage 1,Merciless Labyrinth,Skeletons deal 25% increased Damage,Summon Skeletons
Enchantment Summon Skeletons Damage 2,Eternal Labyrinth,Skeletons deal 40% increased Damage,Summon Skeletons
Enchantment Summon Skeletons Additional Warrior Skeletons 1,Merciless Labyrinth,20% chance to Summon an additional Skeleton Warrior with Summon Skeleton,Summon Skeletons
Enchantment Summon Skeletons Additional Warrior Skeletons 2,Eternal Labyrinth,40% chance to Summon an additional Skeleton Warrior with Summon Skeleton,Summon Skeletons
Enchantment Summon Skitterbots Area Of Effect 1,Merciless Labyrinth,Summoned Skitterbots have 60% increased Area of Effect,Summon Skitterbots
Enchantment Summon Skitterbots Area Of Effect 2,Eternal Labyrinth,Summoned Skitterbots have 90% increased Area of Effect,Summon Skitterbots
Enchantment Summon Skitterbots Mana Reservation 1,Merciless Labyrinth,Summon Skitterbots has 14% reduced Mana Reservation,Summon Skitterbots
Enchantment Summon Skitterbots Mana Reservation 2,Eternal Labyrinth,Summon Skitterbots has 20% reduced Mana Reservation,Summon Skitterbots
Enchantment Summon Stone Golem Damage 1,Merciless Labyrinth,Stone Golems deal 25% increased Damage,Summon Stone Golem
Enchantment Summon Stone Golem Damage 2,Eternal Labyrinth,Stone Golems deal 40% increased Damage,Summon Stone Golem
Enchantment Sumon Chaos Golem Damage 1,Merciless Labyrinth,Chaos Golems deal 25% increased Damage,Summon Chaos Golem
Enchantment Sumon Chaos Golem Damage 2,Eternal Labyrinth,Chaos Golems deal 40% increased Damage,Summon Chaos Golem
Enchantment Sunder Attack Speed 1,Merciless Labyrinth,10% increased Sunder Attack Speed,Sunder
Enchantment Sunder Attack Speed 2,Eternal Labyrinth,15% increased Sunder Attack Speed,Sunder
Enchantment Sunder Damage 1,Merciless Labyrinth,25% increased Sunder Damage,Sunder
Enchantment Sunder Damage 2,Eternal Labyrinth,40% increased Sunder Damage,Sunder
Enchantment Sunder Radius 1,Merciless Labyrinth,8% increased Sunder Area of Effect,Sunder
Enchantment Sunder Radius 2,Eternal Labyrinth,12% increased Sunder Area of Effect,Sunder
Enchantment Sweep Damage 1,Merciless Labyrinth,25% increased Sweep Damage,Sweep
Enchantment Sweep Damage 2,Eternal Labyrinth,40% increased Sweep Damage,Sweep
Enchantment Sweep Knockback Chance 1,Merciless Labyrinth,+20% Sweep Knockback Chance,Sweep
Enchantment Sweep Knockback Chance 2,Eternal Labyrinth,+30% Sweep Knockback Chance,Sweep
Enchantment Sweep Area Of Effect 1,Merciless Labyrinth,8% increased Sweep Area of Effect,Sweep
Enchantment Sweep Area Of Effect 2,Eternal Labyrinth,12% increased Sweep Area of Effect,Sweep
Enchantment Tectonic Slam Area Of Effect 1,Merciless Labyrinth,8% increased Tectonic Slam Area of Effect,Tectonic Slam
Enchantment Tectonic Slam Area Of Effect 2,Eternal Labyrinth,12% increased Tectonic Slam Area of Effect,Tectonic Slam
Enchantment Tectonic Slam Chance To Charged Slam 1,Merciless Labyrinth,Tectonic Slam has 12% chance to create a Charged Slam,Tectonic Slam
Enchantment Tectonic Slam Chance To Charged Slam 2,Eternal Labyrinth,Tectonic Slam has 20% chance to create a Charged Slam,Tectonic Slam
Enchantment Tectonic Slam Damage 1,Merciless Labyrinth,25% increased Tectonic Slam Damage,Tectonic Slam
Enchantment Tectonic Slam Damage 2,Eternal Labyrinth,40% increased Tectonic Slam Damage,Tectonic Slam
Enchantment Tempest Shield Damage 1,Merciless Labyrinth,25% increased Tempest Shield Damage,Tempest Shield
Enchantment Tempest Shield Damage 2,Eternal Labyrinth,40% increased Tempest Shield Damage,Tempest Shield
Enchantment Tempest Shield Num Of Additional Projectiles In Chain 1,Merciless Labyrinth,Tempest Shield chains an additional 2 times,Tempest Shield
Enchantment Tempest Shield Num Of Additional Projectiles In Chain 2,Eternal Labyrinth,Tempest Shield chains an additional 3 times,Tempest Shield
Enchantment Temporal Chains Curse Effect 1,Merciless Labyrinth,20% increased Temporal Chains Curse Effect,Temporal Chains
Enchantment Temporal Chains Curse Effect 2,Eternal Labyrinth,30% increased Temporal Chains Curse Effect,Temporal Chains
Enchantment Temporal Chains Duration 1,Merciless Labyrinth,30% increased Temporal Chains Duration,Temporal Chains
Enchantment Temporal Chains Duration 2,Eternal Labyrinth,45% increased Temporal Chains Duration,Temporal Chains
Enchantment Tornado Shot Critical Strike Chance 1,Merciless Labyrinth,60% increased Tornado Shot Critical Strike Chance,Tornado Shot
Enchantment Tornado Shot Critical Strike Chance 2,Eternal Labyrinth,90% increased Tornado Shot Critical Strike Chance,Tornado Shot
Enchantment Tornado Shot Damage 1,Merciless Labyrinth,25% increased Tornado Shot Damage,Tornado Shot
Enchantment Tornado Shot Damage 2,Eternal Labyrinth,40% increased Tornado Shot Damage,Tornado Shot
Enchantment Tornado Shot Num Of Secondary Projectiles 2,Eternal Labyrinth,Tornado Shot fires an additional secondary Projectile,Tornado Shot
Enchantment Toxic Rain Damage 1,Merciless Labyrinth,Toxic Rain deals 25% increased Damage,Toxic Rain
Enchantment Toxic Rain Damage 2,Eternal Labyrinth,Toxic Rain deals 40% increased Damage,Toxic Rain
Enchantment Toxic Rain Num Of Additional Projectiles 1,Eternal Labyrinth,Toxic Rain fires 1 additional Arrow,Toxic Rain
Enchantment Toxic Rain Physical Added As Chaos 1,Merciless Labyrinth,Toxic Rain gains 6% of Physical Damage as Extra Chaos Damage,Toxic Rain
Enchantment Toxic Rain Physical Added As Chaos 2,Eternal Labyrinth,Toxic Rain gains 10% of Physical Damage as Extra Chaos Damage,Toxic Rain
Enchantment Vengeance Cooldown Speed 1,Merciless Labyrinth,20% increased Vengeance Cooldown Recovery Speed,Vengeance
Enchantment Vengeance Cooldown Speed 2,Eternal Labyrinth,30% increased Vengeance Cooldown Recovery Speed,Vengeance
Enchantment Vengeance Damage 1,Merciless Labyrinth,25% increased Vengeance Damage,Vengeance
Enchantment Vengeance Damage 2,Eternal Labyrinth,40% increased Vengeance Damage,Vengeance
Enchantment Vigilant Strike Damage 1,Merciless Labyrinth,25% increased Vigilant Strike Damage,Vigilant Strike
Enchantment Vigilant Strike Damage 2,Eternal Labyrinth,40% increased Vigilant Strike Damage,Vigilant Strike
Enchantment Vigilant Strike Fortify Duration 1,Merciless Labyrinth,30% increased Vigilant Strike Fortify Duration,Vigilant Strike
Enchantment Vigilant Strike Fortify Duration 2,Eternal Labyrinth,45% increased Vigilant Strike Fortify Duration,Vigilant Strike
Enchantment Viper Strike Critical Strike Chance 1,Merciless Labyrinth,60% increased Viper Strike Critical Strike Chance,Viper Strike
Enchantment Viper Strike Critical Strike Chance 2,Eternal Labyrinth,90% increased Viper Strike Critical Strike Chance,Viper Strike
Enchantment Viper Strike Damage 1,Merciless Labyrinth,25% increased Viper Strike Damage,Viper Strike
Enchantment Viper Strike Damage 2,Eternal Labyrinth,40% increased Viper Strike Damage,Viper Strike
Enchantment Viper Strike Poison Duration 1,Merciless Labyrinth,20% increased Viper Strike Duration,Viper Strike
Enchantment Viper Strike Poison Duration 2,Eternal Labyrinth,30% increased Viper Strike Duration,Viper Strike
Enchantment Vitality Mana Reservation 1,Merciless Labyrinth,Vitality has 14% reduced Mana Reservation,Vitality
Enchantment Vitality Mana Reservation 2,Eternal Labyrinth,Vitality has 20% reduced Mana Reservation,Vitality
Enchantment Volatile Dead Cast Speed 1,Merciless Labyrinth,8% increased Volatile Dead Cast Speed,Volatile Dead
Enchantment Volatile Dead Cast Speed 2,Eternal Labyrinth,12% increased Volatile Dead Cast Speed,Volatile Dead
Enchantment Volatile Dead Damage 1,Merciless Labyrinth,25% increased Volatile Dead Damage,Volatile Dead
Enchantment Volatile Dead Damage 2,Eternal Labyrinth,40% increased Volatile Dead Damage,Volatile Dead
Enchantment Volatile Dead Orbs 3,Eternal Labyrinth,Volatile Dead Consumes up to 1 additional corpse,Volatile Dead
Enchantment Vortex AoE On Frostbolt 1,Merciless Labyrinth,Vortex has 30% increased Area of Effect when Cast on Frostbolt,Vortex
Enchantment Vortex AoE On Frostbolt 2,Eternal Labyrinth,Vortex has 45% increased Area of Effect when Cast on Frostbolt,Vortex
Enchantment Vortex Cooldown Recovery 1,Merciless Labyrinth,Vortex has 20% increased Cooldown Recovery Speed,Vortex
Enchantment Vortex Cooldown Recovery 2,Eternal Labyrinth,Vortex has 30% increased Cooldown Recovery Speed,Vortex
Enchantment Vortex Damage 1,Merciless Labyrinth,25% increased Vortex Damage,Vortex
Enchantment Vortex Damage 2,Eternal Labyrinth,40% increased Vortex Damage,Vortex
Enchantment Vortex Duration 1,Merciless Labyrinth,20% increased Vortex Duration,Vortex
Enchantment Vortex Duration 2,Eternal Labyrinth,30% increased Vortex Duration,Vortex
Enchantment Vulnerability Curse Effect 1,Merciless Labyrinth,20% increased Vulnerability Curse Effect,Vulnerability
Enchantment Vulnerability Curse Effect 2,Eternal Labyrinth,30% increased Vulnerability Curse Effect,Vulnerability
Enchantment Vulnerability Duration 1,Merciless Labyrinth,30% increased Vulnerability Duration,Vulnerability
Enchantment Vulnerability Duration 2,Eternal Labyrinth,45% increased Vulnerability Duration,Vulnerability
Enchantment War Banner Effect 1,Merciless Labyrinth,War Banner has 25% increased Aura Effect,Warbanner
Enchantment War Banner Effect 2,Eternal Labyrinth,War Banner has 40% increased Aura Effect,Warbanner
Enchantment Warlords Mark Curse Effect 1,Merciless Labyrinth,20% increased Warlord's Mark Curse Effect,Warbanner
Enchantment Warlords Mark Curse Effect 2,Eternal Labyrinth,30% increased Warlord's Mark Curse Effect,Warlord's Mark
Enchantment Warlords Mark Duration 1,Merciless Labyrinth,30% increased Warlord's Mark Duration,Warlord's Mark
Enchantment Warlords Mark Duration 2,Eternal Labyrinth,45% increased Warlord's Mark Duration,Warlord's Mark
Enchantment Wave Of Conviction Additional Enemy Resistance 1,Merciless Labyrinth,Wave of Conviction's Exposure applies -4% Elemental Resistance,Wave of Conviction
Enchantment Wave Of Conviction Additional Enemy Resistance 2,Eternal Labyrinth,Wave of Conviction's Exposure applies -6% Elemental Resistance,Wave of Conviction
Enchantment Wave Of Conviction Damage 1,Merciless Labyrinth,Wave of Conviction deals 25% increased Damage,Wave of Conviction
Enchantment Wave Of Conviction Damage 2,Eternal Labyrinth,Wave of Conviction deals 40% increased Damage,Wave of Conviction
Enchantment Wave Of Conviction Duration 1,Merciless Labyrinth,Wave of Conviction has 20% increased Duration,Wave of Conviction
Enchantment Wave Of Conviction Duration 2,Eternal Labyrinth,Wave of Conviction has 30% increased Duration,Wave of Conviction
Enchantment Whirling Blades Attack Speed 1,Merciless Labyrinth,10% increased Whirling Blades Attack Speed,Whirling Blades
Enchantment Whirling Blades Attack Speed 2,Eternal Labyrinth,15% increased Whirling Blades Attack Speed,Whirling Blades
Enchantment Whirling Blades Damage 1,Merciless Labyrinth,25% increased Whirling Blades Damage,Whirling Blades
Enchantment Whirling Blades Damage 2,Eternal Labyrinth,40% increased Whirling Blades Damage,Whirling Blades
Enchantment Wild Strike Damage 1,Merciless Labyrinth,25% increased Wild Strike Damage,Wild Strike
Enchantment Wild Strike Damage 2,Eternal Labyrinth,40% increased Wild Strike Damage,Wild Strike
Enchantment Wild Strike Num Of Additional Projectiles In Chain 1,Merciless Labyrinth,Wild Strike Chains an additional 4 times,Wild Strike
Enchantment Wild Strike Num Of Additional Projectiles In Chain 2,Eternal Labyrinth,Wild Strike Chains an additional 6 times,Wild Strike
Enchantment Wild Strike Area Of Effect 1,Merciless Labyrinth,24% increased Wild Strike Area of Effect,Wild Strike
Enchantment Wild Strike Area Of Effect 2,Eternal Labyrinth,36% increased Wild Strike Area of Effect,Wild Strike
Enchantment Winter Orb Damage 1,Merciless Labyrinth,Winter Orb deals 25% increased Damage,Winter Orb
Enchantment Winter Orb Damage 2,Eternal Labyrinth,Winter Orb deals 40% increased Damage,Winter Orb
Enchantment Wither Duration 1,Merciless Labyrinth,Wither has 24% increased Duration,Wither
Enchantment Wither Duration 2,Eternal Labyrinth,Wither has 36% increased Duration,Wither
Enchantment Withering Step Elusive Effect 1,Merciless Labyrinth,Withering Step has 20% increased Elusive Effect,Withering Step
Enchantment Withering Step Elusive Effect 2,Eternal Labyrinth,Withering Step has 30% increased Elusive Effect,Withering Step
Enchantment Withering Step Wither Stacks1,Merciless Labyrinth,Withering Step inflicts 2 additional Withered Debuffs,Withering Step
Enchantment Withering Step Wither Stacks 2,Eternal Labyrinth,Withering Step inflicts 3 additional Withered Debuffs,Withering Step
Enchantment Wither Area Of Effect 1,Merciless Labyrinth,Wither has 8% increased Area of Effect,Wither
Enchantment Wither Area Of Effect 2,Eternal Labyrinth,Wither has 12% increased Area of Effect,Wither
Enchantment Wrath Mana Reservation 1,Merciless Labyrinth,Wrath has 10% reduced Mana Reservation,Wrath
Enchantment Wrath Mana Reservation 2,Eternal Labyrinth,Wrath has 15% reduced Mana Reservation,Wrath
Enchantment Zealotry Mana Reservation 1,Merciless Labyrinth,Zealotry has 10% reduced Mana Reservation,Zealotry
Enchantment Zealotry Mana Reservation 2,Eternal Labyrinth,Zealotry has 15% reduced Mana Reservation,Zealotry
Enchantment Zombie Attack Speed 1,Merciless Labyrinth,Raised Zombies have 10% increased Attack Speed,Raise Zombie
Enchantment Zombie Attack Speed 2,Eternal Labyrinth,Raised Zombies have 15% increased Attack Speed,Raise Zombie
Enchantment Zombie Elemental Resistances 1,Merciless Labyrinth,Raised Zombies have +24% to Elemental Resistances,Raise Zombie
Enchantment Zombie Elemental Resistances 2,Eternal Labyrinth,Raised Zombies have +36% to Elemental Resistances,Raise Zombie
Storm Brand Additional Chain Chance 1,Merciless Labyrinth,Storm Brand has a 12% chance to Chain an additional time,Storm Brand
Storm Brand Additional Chain Chance 2,Eternal Labyrinth,Storm Brand has a 18% chance to Chain an additional time,Storm Brand
Storm Brand Attached Target Lightning Penetration 1,Merciless Labyrinth,Storm Brand Damage Penetrates 8% of Branded Enemy's Lightning Resistance,Storm Brand
Storm Brand Attached Target Lightning Penetration 2,Eternal Labyrinth,Storm Brand Damage Penetrates 12% of Branded Enemy's Lightning Resistance,Storm Brand
Alacrity,Blight Oils,Allocates Alacrity,
Beef,Blight Oils,Allocates Beef,
Agility,Blight Oils,Allocates Agility,
Wisdom of the Glade,Blight Oils,Allocates Wisdom of the Glade,
Expertise,Blight Oils,Allocates Expertise,
Thief's Craft,Blight Oils,Allocates Thief's Craft,
Prowess,Blight Oils,Allocates Prowess,
Proficiency,Blight Oils,Allocates Proficiency,
Ancestral Knowledge,Blight Oils,Allocates Ancestral Knowledge,
Might,Blight Oils,Allocates Might,
Fending,Blight Oils,Allocates Fending,
Hard Knocks,Blight Oils,Allocates Hard Knocks,
Physique,Blight Oils,Allocates Physique,
Arcane Vision,Blight Oils,Allocates Arcane Vision,
Diamond Skin,Blight Oils,Allocates Diamond Skin,
Path of the Savant,Blight Oils,Allocates Path of the Savant,
Path of the Warrior,Blight Oils,Allocates Path of the Warrior,
Path of the Hunter,Blight Oils,Allocates Path of the Hunter,
Righteous Decree,Blight Oils,Allocates Righteous Decree,
Ironwood,Blight Oils,Allocates Ironwood,
Fusillade,Blight Oils,Allocates Fusillade,
Quickstep,Blight Oils,Allocates Quickstep,
Weathered Hunter,Blight Oils,Allocates Weathered Hunter,
Cloth and Chain,Blight Oils,Allocates Cloth and Chain,
Solidity,Blight Oils,Allocates Solidity,
Aspect of the Eagle,Blight Oils,Allocates Aspect of the Eagle,
Dynamo,Blight Oils,Allocates Dynamo,
Decay Ward,Blight Oils,Allocates Decay Ward,
Thrill Seeker,Blight Oils,Allocates Thrill Seeker,
Aspect of the Panther,Blight Oils,Allocates Aspect of the Panther,
Spirit Void,Blight Oils,Allocates Spirit Void,
Poisonous Fangs,Blight Oils,Allocates Poisonous Fangs,
Saboteur,Blight Oils,Allocates Saboteur,
Depth Perception,Blight Oils,Allocates Depth Perception,
Elemental Focus,Blight Oils,Allocates Elemental Focus,
Deep Wisdom,Blight Oils,Allocates Deep Wisdom,
Martial Experience,Blight Oils,Allocates Martial Experience,
Fury Bolts,Blight Oils,Allocates Fury Bolts,
Battle Rouse,Blight Oils,Allocates Battle Rouse,
Hasty Reconstruction,Blight Oils,Allocates Hasty Reconstruction,
Sanctuary,Blight Oils,Allocates Sanctuary,
Practical Application,Blight Oils,Allocates Practical Application,
Words of Glory,Blight Oils,Allocates Words of Glory,
Executioner,Blight Oils,Allocates Executioner,
Mind Drinker,Blight Oils,Allocates Mind Drinker,
Freedom of Movement,Blight Oils,Allocates Freedom of Movement,
Dreamer,Blight Oils,Allocates Dreamer,
Aligned Spirits,Blight Oils,Allocates Aligned Spirits,
Arsonist,Blight Oils,Allocates Arsonist,
Weapon Artistry,Blight Oils,Allocates Weapon Artistry,
Unpredictable Offensive,Blight Oils,Allocates Unpredictable Offensive,
Mystic Bulwark,Blight Oils,Allocates Mystic Bulwark,
Shamanistic Fury,Blight Oils,Allocates Shamanistic Fury,
Deep Thoughts,Blight Oils,Allocates Deep Thoughts,
Prodigal Perfection,Blight Oils,Allocates Prodigal Perfection,
Sentinel,Blight Oils,Allocates Sentinel,
Heavy Draw,Blight Oils,Allocates Heavy Draw,
Claws of the Magpie,Blight Oils,Allocates Claws of the Magpie,
Harvester of Foes,Blight Oils,Allocates Harvester of Foes,
Splitting Strikes,Blight Oils,Allocates Splitting Strikes,
Silent Steps,Blight Oils,Allocates Silent Steps,
Explosive Runes,Blight Oils,Allocates Explosive Runes,
Steelwood Stance,Blight Oils,Allocates Steelwood Stance,
Efficient Explosives,Blight Oils,Allocates Efficient Explosives,
Totemic Zeal,Blight Oils,Allocates Totemic Zeal,
Bone Breaker,Blight Oils,Allocates Bone Breaker,
Gemini,Blight Oils,Allocates Gemini,
Expeditious Munitions,Blight Oils,Allocates Expeditious Munitions,
Razor's Edge,Blight Oils,Allocates Razor's Edge,
Red Storm,Blight Oils,Allocates Red Storm,
Honed Edge,Blight Oils,Allocates Honed Edge,
Kinetic Impacts,Blight Oils,Allocates Kinetic Impacts,
Elder Power,Blight Oils,Allocates Elder Power,
Successive Detonations,Blight Oils,Allocates Successive Detonations,
Forceful Skewering,Blight Oils,Allocates Forceful Skewering,
Slaughter,Blight Oils,Allocates Slaughter,
Galvanic Hammer,Blight Oils,Allocates Galvanic Hammer,
Magmatic Strikes,Blight Oils,Allocates Magmatic Strikes,
Toxic Strikes,Blight Oils,Allocates Toxic Strikes,
Pain Forger,Blight Oils,Allocates Pain Forger,
Sacrifice,Blight Oils,Allocates Sacrifice,
Entropy,Blight Oils,Allocates Entropy,
Grave Intentions,Blight Oils,Allocates Grave Intentions,
Blast Waves,Blight Oils,Allocates Blast Waves,
Master Fletcher,Blight Oils,Allocates Master Fletcher,
Bladedancer,Blight Oils,Allocates Bladedancer,
Claws of the Pride,Blight Oils,Allocates Claws of the Pride,
Ophidian Aim,Blight Oils,Allocates Ophidian Aim,
Primal Manifestation,Blight Oils,Allocates Primal Manifestation,
Spinecruncher,Blight Oils,Allocates Spinecruncher,
Smashing Strikes,Blight Oils,Allocates Smashing Strikes,
Utmost Swiftness,Blight Oils,Allocates Utmost Swiftness,
Farsight,Blight Oils,Allocates Farsight,
Whirling Barrier,Blight Oils,Allocates Whirling Barrier,
Unstable Munitions,Blight Oils,Allocates Unstable Munitions,
From the Shadows,Blight Oils,Allocates From the Shadows,
Hatchet Master,Blight Oils,Allocates Hatchet Master,
Clever Construction,Blight Oils,Allocates Clever Construction,
Utmost Might,Blight Oils,Allocates Utmost Might,
Wandslinger,Blight Oils,Allocates Wandslinger,
Bludgeon Blitz,Blight Oils,Allocates Bludgeon Blitz,
Flash Freeze,Blight Oils,Allocates Flash Freeze,
Flaying,Blight Oils,Allocates Flaying,
Fearsome Force,Blight Oils,Allocates Fearsome Force,
Redemption,Blight Oils,Allocates Redemption,
Utmost Intellect,Blight Oils,Allocates Utmost Intellect,
Enigmatic Defence,Blight Oils,Allocates Enigmatic Defence,
Butchery,Blight Oils,Allocates Butchery,
Holy Dominion,Blight Oils,Allocates Holy Dominion,
Static Blows,Blight Oils,Allocates Static Blows,
Light Eater,Blight Oils,Allocates Light Eater,
Shaper,Blight Oils,Allocates Shaper,
Annihilation,Blight Oils,Allocates Annihilation,
"Ash, Frost and Storm",Blight Oils,"Allocates Ash, Frost and Storm",
Testudo,Blight Oils,Allocates Testudo,
Lightning Walker,Blight Oils,Allocates Lightning Walker,
Nimbleness,Blight Oils,Allocates Nimbleness,
Aspect of the Lynx,Blight Oils,Allocates Aspect of the Lynx,
Exceptional Performance,Blight Oils,Allocates Exceptional Performance,
Cleaving,Blight Oils,Allocates Cleaving,
Arcane Focus,Blight Oils,Allocates Arcane Focus,
Combat Stamina,Blight Oils,Allocates Combat Stamina,
Will of Blades,Blight Oils,Allocates Will of Blades,
Divine Fury,Blight Oils,Allocates Divine Fury,
Heartseeker,Blight Oils,Allocates Heartseeker,
Arcane Guarding,Blight Oils,Allocates Arcane Guarding,
Reflexes,Blight Oils,Allocates Reflexes,
Divine Judgement,Blight Oils,Allocates Divine Judgement,
Trickery,Blight Oils,Allocates Trickery,
Defiance,Blight Oils,Allocates Defiance,
Harrier,Blight Oils,Allocates Harrier,
Twin Terrors,Blight Oils,Allocates Twin Terrors,
Enigmatic Reach,Blight Oils,Allocates Enigmatic Reach,
Snowforged,Blight Oils,Allocates Snowforged,
Ambidexterity,Blight Oils,Allocates Ambidexterity,
Warrior's Blood,Blight Oils,Allocates Warrior's Blood,
Command of the Elements,Blight Oils,Allocates Command of the Elements,
Light of Divinity,Blight Oils,Allocates Light of Divinity,
Acuity,Blight Oils,Allocates Acuity,
Finesse,Blight Oils,Allocates Finesse,
Mental Rapidity,Blight Oils,Allocates Mental Rapidity,
Revelry,Blight Oils,Allocates Revelry,
Aggressive Bastion,Blight Oils,Allocates Aggressive Bastion,
Sanctity,Blight Oils,Allocates Sanctity,
Essence Sap,Blight Oils,Allocates Essence Sap,
Adamant,Blight Oils,Allocates Adamant,
Coldhearted Calculation,Blight Oils,Allocates Coldhearted Calculation,
Arcanist's Dominion,Blight Oils,Allocates Arcanist's Dominion,
Eagle Eye,Blight Oils,Allocates Eagle Eye,
Storm Weaver,Blight Oils,Allocates Storm Weaver,
Berserking,Blight Oils,Allocates Berserking,
Potency of Will,Blight Oils,Allocates Potency of Will,
Coordination,Blight Oils,Allocates Coordination,
Graceful Assault,Blight Oils,Allocates Graceful Assault,
Brinkmanship,Blight Oils,Allocates Brinkmanship,
Fleetfoot,Blight Oils,Allocates Fleetfoot,
Precise Interception,Blight Oils,Allocates Precise Interception,
Blast Radius,Blight Oils,Allocates Blast Radius,
Destroyer,Blight Oils,Allocates Destroyer,
Divine Wrath,Blight Oils,Allocates Divine Wrath,
True Strike,Blight Oils,Allocates True Strike,
Wrecking Ball,Blight Oils,Allocates Wrecking Ball,
Titanic Impacts,Blight Oils,Allocates Titanic Impacts,
Deflection,Blight Oils,Allocates Deflection,
Versatility,Blight Oils,Allocates Versatility,
Juggernaut,Blight Oils,Allocates Juggernaut,
Dervish,Blight Oils,Allocates Dervish,
Strong Arm,Blight Oils,Allocates Strong Arm,
Sleight of Hand,Blight Oils,Allocates Sleight of Hand,
Battle Cry,Blight Oils,Allocates Battle Cry,
Amplify,Blight Oils,Allocates Amplify,
Dazzling Strikes,Blight Oils,Allocates Dazzling Strikes,
Explosive Impact,Blight Oils,Allocates Explosive Impact,
Fire Walker,Blight Oils,Allocates Fire Walker,
Blade Barrier,Blight Oils,Allocates Blade Barrier,
Dark Arts,Blight Oils,Allocates Dark Arts,
Melding,Blight Oils,Allocates Melding,
Throatseeker,Blight Oils,Allocates Throatseeker,
Frost Walker,Blight Oils,Allocates Frost Walker,
Steadfast,Blight Oils,Allocates Steadfast,
Mysticism,Blight Oils,Allocates Mysticism,
Ballistic Mastery,Blight Oils,Allocates Ballistic Mastery,
Essence Extraction,Blight Oils,Allocates Essence Extraction,
Retribution,Blight Oils,Allocates Retribution,
Lethal Assault,Blight Oils,Allocates Lethal Assault,
Soul Thief,Blight Oils,Allocates Soul Thief,
Sanctum of Thought,Blight Oils,Allocates Sanctum of Thought,
Command of Steel,Blight Oils,Allocates Command of Steel,
Precision,Blight Oils,Allocates Precision,
Hired Killer,Blight Oils,Allocates Hired Killer,
Retaliation,Blight Oils,Allocates Retaliation,
Righteous Army,Blight Oils,Allocates Righteous Army,
Longshot,Blight Oils,Allocates Longshot,
Ribcage Crusher,Blight Oils,Allocates Ribcage Crusher,
Dire Torment,Blight Oils,Allocates Dire Torment,
Gravepact,Blight Oils,Allocates Gravepact,
Arcing Blows,Blight Oils,Allocates Arcing Blows,
Disciple of the Unyielding,Blight Oils,Allocates Disciple of the Unyielding,
Disintegration,Blight Oils,Allocates Disintegration,
Blade Master,Blight Oils,Allocates Blade Master,
Fangs of Frost,Blight Oils,Allocates Fangs of Frost,
Counterweight,Blight Oils,Allocates Counterweight,
Destructive Apparatus,Blight Oils,Allocates Destructive Apparatus,
Hunter's Gambit,Blight Oils,Allocates Hunter's Gambit,
Soul Raker,Blight Oils,Allocates Soul Raker,
Dirty Techniques,Blight Oils,Allocates Dirty Techniques,
Backstabbing,Blight Oils,Allocates Backstabbing,
Tempest Blast,Blight Oils,Allocates Tempest Blast,
Winter Spirit,Blight Oils,Allocates Winter Spirit,
High Explosives,Blight Oils,Allocates High Explosives,
Holy Fire,Blight Oils,Allocates Holy Fire,
Shaman's Dominion,Blight Oils,Allocates Shaman's Dominion,
Method to the Madness,Blight Oils,Allocates Method to the Madness,
Blade of Cunning,Blight Oils,Allocates Blade of Cunning,
Searing Heat,Blight Oils,Allocates Searing Heat,
Devastating Devices,Blight Oils,Allocates Devastating Devices,
Forces of Nature,Blight Oils,Allocates Forces of Nature,
Singular Focus,Blight Oils,Allocates Singular Focus,
Corruption,Blight Oils,Allocates Corruption,
Skull Cracking,Blight Oils,Allocates Skull Cracking,
Adder's Touch,Blight Oils,Allocates Adder's Touch,
Fatal Toxins,Blight Oils,Allocates Fatal Toxins,
Gladiator's Perseverance,Blight Oils,Allocates Gladiator's Perseverance,
Lethality,Blight Oils,Allocates Lethality,
Feller of Foes,Blight Oils,Allocates Feller of Foes,
Lucidity,Blight Oils,Allocates Lucidity,
Blacksmith's Clout,Blight Oils,Allocates Blacksmith's Clout,
King of the Hill,Blight Oils,Allocates King of the Hill,
Bloodletting,Blight Oils,Allocates Bloodletting,
Master Sapper,Blight Oils,Allocates Master Sapper,
Charging Offensive,Blight Oils,Allocates Charging Offensive,
Serpent Stance,Blight Oils,Allocates Serpent Stance,
Primeval Force,Blight Oils,Allocates Primeval Force,
Death Attunement,Blight Oils,Allocates Death Attunement,
Deadly Draw,Blight Oils,Allocates Deadly Draw,
Claws of the Hawk,Blight Oils,Allocates Claws of the Hawk,
Blast Cascade,Blight Oils,Allocates Blast Cascade,
Swift Skewering,Blight Oils,Allocates Swift Skewering,
Lord of the Dead,Blight Oils,Allocates Lord of the Dead,
Blunt Trauma,Blight Oils,Allocates Blunt Trauma,
Runesmith,Blight Oils,Allocates Runesmith,
Hex Master,Blight Oils,Allocates Hex Master,
Disciple of the Forbidden,Blight Oils,Allocates Disciple of the Forbidden,
Avatar of the Hunt,Blight Oils,Allocates Avatar of the Hunt,
Prism Weave,Blight Oils,Allocates Prism Weave,
Indomitable Army,Blight Oils,Allocates Indomitable Army,
Fatal Blade,Blight Oils,Allocates Fatal Blade,
Lava Lash,Blight Oils,Allocates Lava Lash,
Atrophy,Blight Oils,Allocates Atrophy,
Ravenous Horde,Blight Oils,Allocates Ravenous Horde,
Spiritual Command,Blight Oils,Allocates Spiritual Command,
Swift Venoms,Blight Oils,Allocates Swift Venoms,
Stun Mastery,Blight Oils,Allocates Stun Mastery,
